Language name or code;en;ro
UserActivation_subject;Activate your account;Activați-vă contul
ForgotPassword_subject;Account password reset ;Resetarea parolei contului 
ForgotPasswordDenied_subject;Account password reset ;Resetarea parolei contului 
PasswordResetByAdmin_subject;Account password reset;Resetarea parolei contului
SelfServiceUnlock_subject;Unlock account;Deblocați contul
AccountLockout_subject;Account locked;Cont blocat
NewSignOnNotification_subject;New sign-on notification;Notificare de conectare nouă
EmailChallenge_subject;Action Required: One-time verification code ;Acțiunea necesară: Cod de verificare de unică folosință 
UserActivation_title;Activate your account;Activați-vă contul
ForgotPassword_title;Okta password reset requested;S-a solicitat resetarea parolei Okta
PasswordResetByAdmin_title;Okta password reset by administrator ;Parola Okta a fost resetată de administrator 
ForgotPasswordDenied_title;Okta password reset requested;S-a solicitat resetarea parolei Okta
SelfServiceUnlock_title;Okta account unlock requested ;S-a solicitat deblocarea contului Okta 
AccountLockout_title;Account locked;Cont blocat
NewSignOnNotification_title;New sign-on detected for your Okta account ;S-a detectat o conectare nouă pentru contul dvs. Okta 
EmailChallenge_title;Action Required: One-time verification code ;Acțiunea necesară: Cod de verificare de unică folosință 
greeting;Dear ${f.escapeHtml($!user.profile.firstName)}, ;Dragă ${f.escapeHtml($!user.profile.firstName)}, 
UserActivation_paragraph1;Thank you for your registration. ;Vă mulțumim pentru că v-ați înregistrat. 
UserActivation_paragraph2;"<strong>Knauf</strong> is using <strong>Okta</strong> to manage your web applications and has created an Okta user account for you.
Please click the following link to verify your email address and set your password to activate your account: ";"<strong>Knauf</strong> utilizează <strong>Okta</strong> pentru a vă gestiona aplicațiile web și a creat un cont de utilizator Okta pentru dvs.
Faceți clic pe următorul link pentru a vă verifica adresa de e-mail și pentru a vă seta parola pentru a vă activa contul: "
ForgotPasswordDenied_paragraph1;A password reset request was made for your Okta account. If you did not make this request, please contact your system administrator immediately.;S-a făcut o solicitare de resetare a parolei pentru contul dvs. Okta. Dacă nu ați făcut această solicitare, contactați imediat administratorul de sistem.
PasswordResetByAdmin_paragraph1;Your Okta password has been reset by your system administrator ${f.escapeHtml($!technicalContact.fullName)} at Knauf. ;Parola dvs. Okta a fost resetată de administratorul dvs. de sistem ${f.escapeHtml($!technicalContact.fullName)} din cadrul Knauf. 
PasswordResetByAdmin_paragraph2;"Click this link to reset the password for your username <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>: ";"Faceți clic pe acest link pentru a reseta parola pentru numele dvs. de utilizator <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>: "
ForgotPassword_paragraph1;A password reset request was made for your <strong>Okta</strong> account. If you did not make this request, please contact your system administrator immediately. ;S-a făcut o solicitare de resetare a parolei pentru contul dvs. <strong>Okta</strong>. Dacă nu ați făcut această solicitare, contactați imediat administratorul de sistem. 
ForgotPassword_paragraph2;"Click this link to reset the password for your username <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>: ";"Faceți clic pe acest link pentru a reseta parola pentru numele dvs. de utilizator <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>: "
SelfServiceUnlock_paragraph1;An account unlock request was made for your <strong>Okta</strong> account. If you did not make this request, please contact your system administrator immediately. ;S-a făcut o solicitare de deblocare a contului pentru contul dvs. <strong>Okta</strong>. Dacă nu ați făcut această solicitare, contactați imediat administratorul de sistem. 
