languageCode;en;es;tr;pl;da;cs
;User Activation;Activación del usuario;Kullanıcı etkinleştirme;Aktywacja użytkownika;Aktivering af bruger;Aktivace uživatele
;Forgot Password Denied;Olvidé la contraseña denegada;"""Şifreyi unuttum"" reddedildi";Nie pamiętam hasła - odmowa.;Glemt adgangskode nægtet;Zapomenuté heslo zamítnuto
;Password Reset by Admin;Restablecimiento de contraseña por administrador;Yönetici tarafından şifre sıfırlama;Reset hasła przez Admina.;Nulstilling af adgangskode af admin;Obnovení hesla administrátorem
;Forgot Password;Has olvidado tu contraseña;Parolanızı mı unuttunuz;Zapomniałeś hasła;Glemt adgangskode;Zapomenuté heslo
;Self-Service Unlock Account;Cuenta de desbloqueo de autoservicio;Self Servis Kilitli hesabı kullanıma açma;Samodzielne odblokowanie konta;Selvbetjeningsoplåsningskonto;Samoobslužné odblokování účtu
;Account Lockout;Bloqueo de la cuenta;Hesap kilitleme;Blokada konta;Spærring af konto;Zablokování účtu
;New Device Notification;Notificación nuevo dispositivo / Notificación nuevo dispositivo añadido;Yeni Cihaz Bildirimi;Powiadomienie o nowym urządzeniu;Notifikation om ny enhed;Upozornění na nové zařízení
;Multi-factor Authentication;Autenticación multifactor;Çok faktörlü kimlik doğrulama;Uwierzytelnianie wieloskładnikowe;Multifaktor-godkendelse;Vícefaktorové ověření
;;;;;;
UserActivation_subject;Activate your account;Active su cuenta;Hesabınızı etkinleştirin;Aktywuj swoje konto;Aktivering af konto;Aktivace vašeho účtu
ForgotPassword_subject;Account password reset ;Restablecer la contraseña de la cuenta;Hesap Şifresi Sıfırlama;Resetowanie hasła konta;Nulstilling af adgangskode;Obnovení hesla k účtu 
ForgotPasswordDenied_subject;Account password reset ;Restablecer la contraseña de la cuenta;Hesap Şifresi Sıfırlama;Resetowanie hasła konta;Nulstilling af adgangskode;Obnovení hesla k účtu 
PasswordResetByAdmin_subject;Account password reset;Restablecer la contraseña de la cuenta;Hesap Şifresi Sıfırlama;Resetowanie hasła konta;Nulstilling af adgangskode;Obnovení hesla k účtu 
SelfServiceUnlock_subject;Unlock account;Desbloquear cuenta;"Kilitli hesabı kullanıma açma
";Odblokuj konto;Lås konto op;Odblokování účtu
AccountLockout_subject;Account locked;Cuenta bloqueada;Hesap kilitlendi;Konto zablokowane;Konto låst;Účet uzamčen
NewSignOnNotification_subject;New sign-on notification;Nueva notificación de inicio de sesión;Yeni Oturum Açma Bildirimi;Nowe powiadomienie o logowaniu;Ny login meddelelse;Oznámení o novém přihlášení
EmailChallenge_subject;Action Required: One-time verification code ;Acción requerida: código de verificación único;Gerekli Eylem: Tek kullanımlık doğrulama kodu;Wymagane działanie: jednorazowy kod weryfikacyjny;Handling påkrævet: engangsverifikationskode;Požadovaná akce: Jednorázový ověřovací kód
UserActivation_title;Activate your account;Active su cuenta;Hesabınızı etkinleştirin;Aktywuj swoje konto;Aktivering af konto;Aktivujte svuj ucet
ForgotPassword_title;Okta password reset requested;Restablecimiento de contraseña de Okta solicitado;Okta Şifresi Sıfırlama talebi alındı;Prośba o zresetowanie hasła Okta;Anmodning om nulstilling af Okta adgangskode;Žádost o obnovení hesla Okta
PasswordResetByAdmin_title;Okta password reset by administrator ;Restablecimiento de contraseña de Okta por administrador;Yönetici tarafından Okta Şifresi Sıfırlama;Resetowanie hasła Okta przez administratora;Okta adgangskode nulstillet af administrator;Obnovení hesla Okta správcem
ForgotPasswordDenied_title;Okta password reset requested;Restablecimiento de contraseña de Okta solicitado;Okta Şifresi Sıfırlama talebi alındı;Prośba o zresetowanie hasła Okta;Anmodning om nulstilling af Okta adgangskode;Žádost o obnovení hesla Okta
SelfServiceUnlock_title;Okta account unlock requested ;Desbloqueo de la cuenta Okta solicitado;Kilitli Okta Hesabını kullanıma açma talebi alındı;Prośba o odblokowanie konta Okta;Anmodning om oplåsning af Okta konto;Žádost o odemknutí účtu Okta
AccountLockout_title;Account locked;Cuenta bloqueada;Hesap kilitlendi;Konto zablokowane;Konto låst;Účet uzamčen
NewSignOnNotification_title;New sign-on detected for your Okta account ;Nuevo inicio de sesión detectado para su cuenta Okta;Okta hesabınız ile yeni oturum açma talebi tespit edildi;Wykroto nowe logowanie na Twoim koncie Okta;Ny login registreret for din Okta konto;Zjištěno nové přihlášení k Vašemu účtu Okta 
EmailChallenge_title;Action Required: One-time verification code ;Acción requerida: código de verificación único;Gerekli Eylem: Tek kullanımlık doğrulama kodu;Wymagane działanie: jednorazowy kod weryfikacyjny;Handling påkrævet: engangsverifikationskode;Požadovaná akce: Jednorázový ověřovací kód
greeting;Dear ${f.escapeHtml($!user.profile.firstName)}, ;Estimado ${f.escapeHtml($!user.profile.firstName)},;Sayın ${f.escapeHtml($!user.profile.firstName)},;Drogi ${f.escapeHtml($!user.profile.firstName)},;Kære ${f.escapeHtml($!user.profile.firstName)},;Vážený/Vážená ${f.escapeHtml($!user.profile.firstName)}, 
UserActivation_paragraph1;Thank you for your registration. ;Gracias por su registro.;Kayıt olduğunuz için teşekkür ederiz.;Dziękujemy za rejestrację.;Tak for din registrering.;Děkujeme za Vaši registraci.
UserActivation_paragraph2;"<strong>Knauf</strong> is using <strong>Okta</strong> to manage your web applications and has created an Okta user account for you.
Please click the following link to verify your email address and set your password to activate your account: ";"<strong>Knauf</strong> está utilizando <strong>Okta</strong> para administrar sus aplicaciones web y ha creado una cuenta de usuario de Okta para usted.
Haga clic en el siguiente enlace para verificar su dirección de correo electrónico y configure su contraseña para activar su cuenta:";"<strong>Knauf</strong>, web uygulamalarınızı yönetmek için <strong>Okta</strong>'yı kullanıyor ve sizin için bir Okta kullanıcı hesabı oluşturdu.
E -posta adresinizi doğrulamak için lütfen aşağıdaki bağlantıya tıklayın ve hesabınızı etkinleştirmek için şifrenizi belirleyin:";"<strong>Knauf</strong> używa <strong>Okta</strong> do zarządzania aplikacjami internetowymi i stworzył dla Ciebie konto użytkownika Okta.
Kliknij poniższy link, aby zweryfikować swój adres e -mail i ustaw hasło, aby aktywować swoje konto:";"<strong>Knauf</strong> bruger <strong>Okta</strong> til at administrere dine webapplikationer og har oprettet en Okta -brugerkonto til dig.
Klik på følgende link for at bekræfte din e-mail, -adresse og indstil din adgangskode for, at aktivere din konto:";"Společnost <strong>Knauf</strong> používá ke správě Vašich webových aplikací službu <strong>Okta</strong> a vytvořila pro Vás uživatelský účet Okta.
Kliknutím na následující odkaz ověřte svou e-mailovou adresu a nastavte si heslo pro aktivaci účtu: "
